,CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
994,LY,2373,EL AL ISRAEL AIRLINES,2024-02-15T16:40:00,2024-02-15T16:40:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
997,AM,7853,AERO MEXICO,2024-02-15T16:50:00,2024-02-15T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
998,LY,325,EL AL ISRAEL AIRLINES,2024-02-15T16:50:00,2024-02-15T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
1004,LY,387,EL AL ISRAEL AIRLINES,2024-02-15T17:00:00,2024-02-15T17:00:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
1005,SK,3183,SAS,2024-02-15T17:00:00,2024-02-15T17:00:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
1006,LY,351,EL AL ISRAEL AIRLINES,2024-02-15T17:05:00,2024-02-15T17:05:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
1008,AM,7866,AERO MEXICO,2024-02-15T17:10:00,2024-02-15T17:10:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
1010,AR,7873,AEROLINEAS ARGENTINAS S.A.,2024-02-15T17:10:00,2024-02-15T17:10:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
1013,IB,2396,IBERIA,2024-02-15T17:10:00,2024-02-15T17:10:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
1014,LH,681,LUFTHANSA,2024-02-15T17:10:00,2024-02-15T17:10:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,12-21,A,ON TIME,בזמן
1016,LY,2367,EL AL ISRAEL AIRLINES,2024-02-15T17:10:00,2024-02-15T17:10:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,78-99,D,ON TIME,בזמן
1018,LY,397,EL AL ISRAEL AIRLINES,2024-02-15T17:10:00,2024-02-15T17:10:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
1019,SN,7172,BRUSSELS AIRLINES,2024-02-15T17:10:00,2024-02-15T17:10:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,12-21,A,ON TIME,בזמן
1020,AM,7877,AERO MEXICO,2024-02-15T17:15:00,2024-02-15T17:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
1021,LY,317,EL AL ISRAEL AIRLINES,2024-02-15T17:15:00,2024-02-15T17:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
1023,6H,711,ISRAIR AIRLINES,2024-02-15T17:20:00,2024-02-15T17:20:00,D,VAR,VARNA,וארנה,VARNA,בולגריה,BULGARIA,3,41-44,B,ON TIME,בזמן
1024,LY,5109,EL AL ISRAEL AIRLINES,2024-02-15T17:30:00,2024-02-15T17:30:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,ON TIME,בזמן
1025,IZ,821,ARKIA  ISRAELI  AIRLINES,2024-02-15T17:40:00,2024-02-15T17:40:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G14-G18,G,ON TIME,בזמן
1027,LY,2523,EL AL ISRAEL AIRLINES,2024-02-15T17:45:00,2024-02-15T17:45:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,78-99,D,ON TIME,בזמן
1033,AR,7879,AEROLINEAS ARGENTINAS S.A.,2024-02-15T18:00:00,2024-02-15T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
1034,IZ,161,ARKIA  ISRAELI  AIRLINES,2024-02-15T18:00:00,2024-02-15T18:00:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,30-33,A,ON TIME,בזמן
1035,LY,383,EL AL ISRAEL AIRLINES,2024-02-15T18:00:00,2024-02-15T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
1036,TP,8900,AIR PORTUGAL,2024-02-15T18:00:00,2024-02-15T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
1037,6H,721,ISRAIR AIRLINES,2024-02-15T18:00:00,2024-02-15T18:00:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,44-47,B,ON TIME,בזמן
1038,LY,571,EL AL ISRAEL AIRLINES,2024-02-15T18:05:00,2024-02-15T18:05:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,ON TIME,בזמן
1040,IB,2390,IBERIA,2024-02-15T18:10:00,2024-02-15T18:10:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
1041,LY,391,EL AL ISRAEL AIRLINES,2024-02-15T18:10:00,2024-02-15T18:10:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
1044,LY,543,EL AL ISRAEL AIRLINES,2024-02-15T19:15:00,2024-02-15T19:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,ON TIME,בזמן
1045,A4,5024,AZIMUTH AIRLINES,2024-02-15T19:50:00,2024-02-15T19:50:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,53-55,B,ON TIME,בזמן
1046,LY,5133,EL AL ISRAEL AIRLINES,2024-02-15T20:00:00,2024-02-15T20:00:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,78-99,D,ON TIME,בזמן
1047,6H,891,ISRAIR AIRLINES,2024-02-15T20:00:00,2024-02-15T20:00:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,34-37,B,ON TIME,בזמן
1049,LY,081,EL AL ISRAEL AIRLINES,2024-02-15T20:05:00,2024-02-15T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
1050,QF,5020,QANTAS AIRWAYS,2024-02-15T20:05:00,2024-02-15T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
1051,TG,4584,THAI AIRWAYS,2024-02-15T20:05:00,2024-02-15T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
1052,VN,3298,VIETNAM AIRLINES,2024-02-15T20:05:00,2024-02-15T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
1056,LY,087,EL AL ISRAEL AIRLINES,2024-02-15T20:45:00,2024-02-15T20:45:00,D,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
1064,6H,581,ISRAIR AIRLINES,2024-02-15T21:40:00,2024-02-15T21:40:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,37-40,B,ON TIME,בזמן
1072,WZ,4312,RED WINGS AIRLINES,2024-02-15T22:55:00,2024-02-15T22:55:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,53-55,B,ON TIME,בזמן
1079,H7,458,HISKY,2024-02-15T23:30:00,2024-02-15T23:30:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,66-68,C,ON TIME,בזמן
1082,RO,156,TAROM - RUMANIAN AIR TRANSPORT,2024-02-16T00:20:00,2024-02-16T00:20:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,63-65,C,ON TIME,בזמן
1086,AM,7869,AERO MEXICO,2024-02-16T00:45:00,2024-02-16T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
1087,AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-02-16T00:45:00,2024-02-16T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
1088,B6,6451,JETBLUE AIRWAYS CORPORATION,2024-02-16T00:45:00,2024-02-16T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
1089,DL,7424,DELTA AIRLINES,2024-02-16T00:45:00,2024-02-16T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
1090,LY,001,EL AL ISRAEL AIRLINES,2024-02-16T00:45:00,2024-02-16T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
1093,AR,7851,AEROLINEAS ARGENTINAS S.A.,2024-02-16T01:00:00,2024-02-16T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
1094,B6,6467,JETBLUE AIRWAYS CORPORATION,2024-02-16T01:00:00,2024-02-16T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
1095,DL,7437,DELTA AIRLINES,2024-02-16T01:00:00,2024-02-16T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
1096,LY,017,EL AL ISRAEL AIRLINES,2024-02-16T01:00:00,2024-02-16T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
1101,LY,003,EL AL ISRAEL AIRLINES,2024-02-16T01:45:00,2024-02-16T01:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
1102,ET,405,ETHIOPIAN AIRLINES,2024-02-16T02:05:00,2024-02-16T02:05:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,ON TIME,בזמן
1103,LY,8807,EL AL ISRAEL AIRLINES,2024-02-16T02:05:00,2024-02-16T02:05:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,ON TIME,בזמן
1117,LY,2369,EL AL ISRAEL AIRLINES,2024-02-16T02:30:00,2024-02-16T02:30:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,78-99,D,ON TIME,בזמן
